case_id,technology,profile,scenario_type,rho_MB_per_s,tau_MB_per_s,RI_star,B_S_Byte,B_R_Byte,availability,mode,update_pattern,source_result,source_ids
07_pcm,PCM,short,paired_conditional,5.207485760781123,7.972097658196313,0.653213995117982,128,32,1,SLC二状态8行电压式ACIM；32-IDAC对角写入,32 Byte为对角选通，非任意连续32 Byte；d=0…127、s=0…3，512事务无重复覆盖矩阵,07_pcm/data/results.json#/paired_scenarios/0,PCM-01; PCM-03; PCM-05; PCM-06
07_pcm,PCM,reference,recommended_reference,2.4995118140988084,6.874328678839956,0.3636008592071861,128,32,1,SLC二状态8行电压式ACIM；32-IDAC对角写入,32 Byte为对角选通，非任意连续32 Byte；d=0…127、s=0…3，512事务无重复覆盖矩阵,07_pcm/data/results.json#/paired_scenarios/1,PCM-01; PCM-03; PCM-05; PCM-06
07_pcm,PCM,long,paired_conditional,1.0414971521562244,4.945904173106645,0.21057770545158666,128,32,1,SLC二状态8行电压式ACIM；32-IDAC对角写入,32 Byte为对角选通，非任意连续32 Byte；d=0…127、s=0…3，512事务无重复覆盖矩阵,07_pcm/data/results.json#/paired_scenarios/2,PCM-01; PCM-03; PCM-05; PCM-06
08_feram_hfo2,HfO2 FeRAM,short,paired_conditional,68.81720430107526,307.6923076923077,0.22365591397849463,128,16.0,1,HZO 1T1C二状态数字路径；已有读码跨8输入位复用,128bit完整局部行＝16 Byte；1024行事务覆盖矩阵；每次真实破坏读均整行恢复,08_feram_hfo2/data/results.json#/paired/0,FERAM-01; FERAM-02; FERAM-03; FERAM-04
08_feram_hfo2,HfO2 FeRAM,reference,recommended_reference,26.611226611226606,106.66666666666666,0.24948024948024947,128,16.0,1,HZO 1T1C二状态数字路径；已有读码跨8输入位复用,128bit完整局部行＝16 Byte；1024行事务覆盖矩阵；每次真实破坏读均整行恢复,08_feram_hfo2/data/results.json#/paired/1,FERAM-01; FERAM-02; FERAM-03; FERAM-04
08_feram_hfo2,HfO2 FeRAM,long,paired_conditional,12.877263581488931,53.33333333333333,0.24144869215291748,128,16.0,1,HZO 1T1C二状态数字路径；已有读码跨8输入位复用,128bit完整局部行＝16 Byte；1024行事务覆盖矩阵；每次真实破坏读均整行恢复,08_feram_hfo2/data/results.json#/paired/2,FERAM-01; FERAM-02; FERAM-03; FERAM-04
09_gain_cell_edram,Gain-cell eDRAM,short,paired_conditional,4.534209534069485,118.55999999999999,0.03824400754107191,128,16,0.52611,3T1C伪差分±700 nA二端点ACIM；固定400 μs刷新,16 Byte对齐组＝128差分pair；1024事务覆盖矩阵；长期整矩阵更新沿用同一刷新预留,09_gain_cell_edram/data/results.json#/scenarios/0,GC-01; GC-02; GC-03; GC-04; GC-05
09_gain_cell_edram,Gain-cell eDRAM,reference,recommended_reference,1.8043056141831997,66.7875,0.027015618404390037,128,16,0.3339375,3T1C伪差分±700 nA二端点ACIM；固定400 μs刷新,16 Byte对齐组＝128差分pair；1024事务覆盖矩阵；长期整矩阵更新沿用同一刷新预留,09_gain_cell_edram/data/results.json#/scenarios/1,GC-01; GC-02; GC-03; GC-04; GC-05
09_gain_cell_edram,Gain-cell eDRAM,long,pressure_near_refresh_saturation,0.1402788622420524,5.988571428571428,0.023424428332403793,128,16,0.0393,3T1C伪差分±700 nA二端点ACIM；固定400 μs刷新,16 Byte对齐组＝128差分pair；1024事务覆盖矩阵；长期整矩阵更新沿用同一刷新预留,09_gain_cell_edram/data/results.json#/scenarios/2,GC-01; GC-02; GC-03; GC-04; GC-05
10_fenor_3d,3D FeFET,short,paired_conditional,22.711142654364796,11.267605633802816,2.0156139105748756,128,16,1,2026 vertical AND二状态数字路径；16-cell写条带,16 Byte完整权重，8个16-cell条带分两极性写验；1024事务覆盖矩阵,10_fenor_3d/data/results.json#/main_scenarios/0,FENOR-01; FENOR-02
10_fenor_3d,3D FeFET,reference,recommended_reference,11.101474414570683,9.248554913294797,1.2003469210754554,128,16,1,2026 vertical AND二状态数字路径；16-cell写条带,16 Byte完整权重，8个16-cell条带分两极性写验；1024事务覆盖矩阵,10_fenor_3d/data/results.json#/main_scenarios/1,FENOR-01; FENOR-02
10_fenor_3d,3D FeFET,long,paired_conditional,5.550737207285342,6.837606837606837,0.8117953165654813,128,16,1,2026 vertical AND二状态数字路径；16-cell写条带,16 Byte完整权重，8个16-cell条带分两极性写验；1024事务覆盖矩阵,10_fenor_3d/data/results.json#/main_scenarios/2,FENOR-01; FENOR-02
